Tipo de vehiculo|coste|tiempo de llegada
coches|7.51|435|
coches|7.51|460|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|640|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|640|
coches|7.51|665|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|640|
coches|7.51|665|
coches|7.51|690|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|640|
coches|7.51|665|
coches|7.51|690|
coches|7.51|715|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|640|
coches|7.51|665|
coches|7.51|690|
coches|7.51|715|
coches|7.51|745|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|640|
coches|7.51|665|
coches|7.51|690|
coches|7.51|715|
coches|7.51|745|
coches|7.51|770|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|640|
coches|7.51|665|
coches|7.51|690|
coches|7.51|715|
coches|7.51|745|
coches|7.51|770|
coches|7.51|800|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|640|
coches|7.51|665|
coches|7.51|690|
coches|7.51|715|
coches|7.51|745|
coches|7.51|770|
coches|7.51|800|
coches|7.51|825|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|640|
coches|7.51|665|
coches|7.51|690|
coches|7.51|715|
coches|7.51|745|
coches|7.51|770|
coches|7.51|800|
coches|7.51|825|
coches|7.51|870|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|640|
coches|7.51|665|
coches|7.51|690|
coches|7.51|715|
coches|7.51|745|
coches|7.51|770|
coches|7.51|800|
coches|7.51|825|
coches|7.51|870|
coches|7.51|910|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|640|
coches|7.51|665|
coches|7.51|690|
coches|7.51|715|
coches|7.51|745|
coches|7.51|770|
coches|7.51|800|
coches|7.51|825|
coches|7.51|870|
coches|7.51|910|
coches|7.51|935|
coches|7.51|20|
coches|7.51|50|
coches|7.51|75|
coches|7.51|100|
coches|7.51|140|
coches|7.51|165|
coches|7.51|195|
coches|7.51|220|
motos|6.61|245|
coches|7.51|270|
coches|7.51|295|
coches|7.51|320|
coches|7.51|350|
coches|7.51|375|
motos|6.61|400|
coches|7.51|435|
coches|7.51|460|
coches|7.51|485|
coches|7.51|520|
coches|7.51|550|
coches|7.51|585|
coches|7.51|615|
coches|7.51|640|
coches|7.51|665|
coches|7.51|690|
coches|7.51|715|
coches|7.51|745|
coches|7.51|770|
coches|7.51|800|
coches|7.51|825|
coches|7.51|870|
coches|7.51|910|
coches|7.51|935|
coches|7.51|965|
