Tipo de vehiculo|coste|tiempo de llegada
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|675|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|675|
coches|7.51|705|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|675|
coches|7.51|705|
coches|7.51|730|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|675|
coches|7.51|705|
coches|7.51|730|
coches|7.51|755|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|675|
coches|7.51|705|
coches|7.51|730|
coches|7.51|755|
coches|7.51|780|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|675|
coches|7.51|705|
coches|7.51|730|
coches|7.51|755|
coches|7.51|780|
coches|7.51|805|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|675|
coches|7.51|705|
coches|7.51|730|
coches|7.51|755|
coches|7.51|780|
coches|7.51|805|
coches|7.51|830|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|675|
coches|7.51|705|
coches|7.51|730|
coches|7.51|755|
coches|7.51|780|
coches|7.51|805|
coches|7.51|830|
coches|7.51|855|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|675|
coches|7.51|705|
coches|7.51|730|
coches|7.51|755|
coches|7.51|780|
coches|7.51|805|
coches|7.51|830|
coches|7.51|855|
coches|7.51|880|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|675|
coches|7.51|705|
coches|7.51|730|
coches|7.51|755|
coches|7.51|780|
coches|7.51|805|
coches|7.51|830|
coches|7.51|855|
coches|7.51|880|
coches|7.51|905|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|675|
coches|7.51|705|
coches|7.51|730|
coches|7.51|755|
coches|7.51|780|
coches|7.51|805|
coches|7.51|830|
coches|7.51|855|
coches|7.51|880|
coches|7.51|905|
coches|7.51|930|
coches|7.51|10|
coches|7.51|40|
coches|7.51|65|
coches|7.51|90|
coches|7.51|125|
coches|7.51|150|
motos|6.61|175|
coches|7.51|205|
coches|7.51|230|
coches|7.51|255|
coches|7.51|280|
coches|7.51|305|
coches|7.51|330|
coches|7.51|360|
coches|7.51|385|
coches|7.51|415|
coches|7.51|440|
coches|7.51|465|
coches|7.51|490|
coches|7.51|515|
coches|7.51|540|
coches|7.51|575|
coches|7.51|600|
coches|7.51|625|
coches|7.51|650|
coches|7.51|675|
coches|7.51|705|
coches|7.51|730|
coches|7.51|755|
coches|7.51|780|
coches|7.51|805|
coches|7.51|830|
coches|7.51|855|
coches|7.51|880|
coches|7.51|905|
coches|7.51|930|
coches|7.51|960|
